Alert_Type,Severity,Project_ID,Item_ID,Project_Name,Condition,Current_Value,Threshold,Owner_Role,Required_Action
Old Pending Change,High,PRJ-087,CO-01072,,Pending change age is 499 days,499,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-088,CO-01078,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Approved Not Incorporated,High,PRJ-088,CO-01092,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-088,CO-01086,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-088,CO-01091,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-088,CO-01079,,Pending change age is 291 days,291,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-088,CO-01081,,Pending change age is 671 days,671,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-088,CO-01082,,Pending change age is 233 days,233,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-088,CO-01088,,Pending change age is 457 days,457,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-088,CO-01093,,Pending change age is 377 days,377,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-089,CO-01097,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-089,CO-01094,,Forecast incorporation lag is 14 days,14,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-089,CO-01095,,Forecast incorporation lag is 16 days,16,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-089,CO-01096,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-089,CO-01103,,Forecast incorporation lag is 22 days,22,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-089,CO-01104,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Approved Not Incorporated,High,PRJ-090,CO-01113,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-090,CO-01105,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-090,CO-01106,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-090,CO-01108,,Forecast incorporation lag is 31 days,31,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-090,CO-01109,,Forecast incorporation lag is 11 days,11,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-090,CO-01115,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-090,CO-01118,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-090,CO-01120,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-090,CO-01107,,Pending change age is 338 days,338,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-090,CO-01111,,Pending change age is 454 days,454,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
